,AT,BE,FI,FR,DE,GR,IE,IT,NL,ES,PT
2005-09,-0.03505476394073881,-0.010054763940738898,-0.11505476394073888,-0.023354763940738987,-0.08732749094073888,0.1449452360592609,-0.11505476394073888,0.13195523605926107,-0.03905476394073881,-0.06669112757709872,0.27050079162592766
2005-10,-0.13429578769685868,-0.10529578769685877,-0.21429578769685875,-0.10709578769685857,-0.16572435869685886,0.04570421230314148,-0.21429578769685875,0.0401342123031414,-0.12529578769685878,-0.1317719781730493,0.07237087900314121
2005-11,0.020693740709368136,0.033693740709368036,-0.059306259290631935,0.03219374070936798,-0.011124441290631726,0.21069374070936808,-0.059306259290631935,0.19585374070936812,0.018693740709368356,0.017284649800278107,0.06069374074270151
2005-12,0.1543573956743649,0.18435739567436515,0.09435739567436485,0.16465739567436488,0.13197644367436512,0.36435739567436487,0.1543573956743649,0.3475473956743649,0.14735739567436523,0.16292882424579513,0.3576907290410314
2006-01,-0.14059250778286048,-0.09859250778286066,-0.19059250778286074,-0.12409250778286074,-0.14922887178286048,0.12940749221713954,-0.1505925077828607,0.07293749221713952,-0.1435925077828606,-0.1400015986919505,0.13607415891713925
2006-02,-0.0005393845749890325,0.0574606154250108,-0.04053938457498907,0.028460615425010882,-0.008039384574988873,0.289460615425011,-0.01053938457498882,0.21681061542501112,-0.004539384574989036,0.00236061542501087,0.2794606154583441
2006-03,-0.12815881644473492,-0.07615881644473488,-0.15815881644473473,-0.08945881644473497,-0.14076751244473495,0.17184118355526534,-0.12815881644473492,0.14468118355526505,-0.1221588164447347,-0.12924577296647488,0.1351745169219316
2006-04,-0.05263409792525087,-0.016634097925250835,-0.0926340979252509,-0.019834097925250926,-0.07763409792525078,0.25736590207474963,-0.07263409792525088,0.24920590207474946,-0.05163409792525098,-0.05374520903636126,0.09403256877474897
2006-05,0.06601638361524831,0.0630163836152482,-0.023983616384751993,0.039516383615247896,-0.0012563433847518901,0.3360163836152479,-0.003983616384751976,0.3207063836152484,1.6383615248027894e-05,0.022334565433427933,0.0949052725152475
2006-06,-0.031454843182178394,-0.04545484318217863,-0.04145484318217907,-0.05265484318217872,-0.10100029818217848,0.24854515681782097,-0.08145484318217866,0.2332551568178216,-0.08845484318217878,-0.0732730250003586,-0.010343732082178647
2006-07,0.13731818215676883,0.12931818215676882,0.14731818215676862,0.10831818215676892,0.0973181821567688,0.4173181821567691,0.08731818215676901,0.39379818215676865,0.08131818215676923,0.11122294406152866,0.13065151545676867
2006-08,0.17649370094112715,0.17149370094112726,0.19649370094112717,0.14909370094112706,0.1404067439411274,0.4464937009411276,0.13649370094112712,0.4271937009411273,0.15949370094112725,0.14905891833242713,0.2664937009077937
2006-09,0.12638304470362316,0.12538304470362327,0.13638304470362295,0.09868304470362332,0.09019256870362291,0.39638304470362273,0.09638304470362291,0.3722030447036233,0.11438304470362315,0.09966875898933347,0.31304971133695636
2006-10,0.10832241190610015,0.11332241190610004,0.11832241190609993,0.08932241190610002,0.06604968490609986,0.35832241190610015,0.05832241190609988,0.3482924119060997,0.09832241190609992,0.09123150281518955,0.2216557452061001
2006-11,0.09627827699518443,0.09627827699518443,0.08627827699518464,0.07577827699518469,0.05036918599518447,0.3162782769951846,0.05627827699518484,0.30636827699518454,0.08527827699518475,0.08327827699518453,0.35072272142851757
2006-12,-0.10184462179294407,-0.09184462179294428,-0.09184462179294428,-0.08454462179294397,-0.1413183057929439,0.12815537820705591,-0.15184462179294433,0.12575537820705618,-0.09284462179294417,-0.09558146389820399,0.1737109337737226
2007-01,-0.004024401163083446,-2.4401163082998778e-05,-0.014024401163083233,0.0070755988369173295,-0.04720621916308332,0.2159755988369172,-0.02402440116308302,0.1987755988369173,-0.012024401163083454,0.008430144291467379,0.09264226553691657
2007-02,0.17179569216141521,0.189795692161415,0.16179569216141543,0.17529569216141505,0.13079569216141573,0.3817956921614152,0.15179569216141564,0.36188569216141575,0.1557956921614152,0.1925956921614156,0.35068458106141476
2007-03,-0.03439642553757505,-0.01539642553757492,-0.04439642553757528,-0.02489642553757543,-0.08348733453757529,0.17560357446242492,-0.054396425537575066,0.15182357446242456,-0.04639642553757506,-0.015714607355755028,0.3567146855624248
2007-04,0.07893659781145335,0.0909365978114538,0.06893659781145356,0.0829365978114538,0.02104186081145354,0.26893659781145374,0.05893659781145377,0.23914659781145353,0.06293659781145333,0.0776734399167136,0.3622699311114532
2007-05,-0.03894852469951626,-0.023948524699516582,-0.03894852469951626,-0.026448524699516085,-0.08990090569951636,0.14105147530048345,-0.04894852469951605,0.12076147530048331,-0.04094852469951604,-0.0326628104138047,0.15771814193381672
2007-06,0.12016427856938883,0.12816427856938883,0.11016427856938904,0.10936427856938913,0.050640468569389085,0.29016427856938876,0.11016427856938904,0.26213427856938853,0.10416427856938881,0.11044999285510038,0.050164278536056095
2007-07,0.23363465158505292,0.26063465158505306,0.23363465158505292,0.22523465158505296,0.14863465158505296,0.4336346515850531,0.23363465158505292,0.4039646515850528,0.20763465158505312,0.2398619243123239,0.23696798488505344
2007-08,0.057379863969012845,0.11437986396901323,0.06737986396901263,0.06097986396901334,-0.02609839703098693,0.29737986396901306,0.07737986396901331,0.26092986396901274,0.06037986396901296,0.07551029875162296,0.2229354195023463
2007-09,-0.04813936381240058,0.013860636187599695,-0.038139363812400795,-0.016639363812400276,-0.15213936381240067,0.18186063618759896,-0.05813936381240037,0.19543063618759948,-0.03513936381240068,-0.02413936381240056,0.11963841395426655
2007-10,0.11155863255139398,0.13455863255139366,0.09155863255139352,0.10895863255139382,-0.005832671448606774,0.2915586325513937,0.1015586325513933,0.3024386325513939,0.08755863255139396,0.089906458638354,0.1615586325513938
2007-11,-0.004501049173748939,0.06549895082625135,0.005498950826250848,0.013398950826251088,-0.12541014017374863,0.2154989508262508,0.0954989508262507,0.2347889508262515,-0.005501049173749273,0.033362587189890824,0.1899433952595846
2007-12,-0.02606375648717929,0.03593624351282099,-0.03606375648717908,-0.020863756487178975,-0.17018140348717914,0.1539362435128213,0.07393624351282124,0.16242624351282142,-0.03806375648717886,-0.028357874134238514,-0.017174867620512124
2008-01,0.17267563570788713,0.20467563570788716,0.09267563570788706,0.09407563570788735,-0.019597091292112623,0.35267563570788774,0.20267563570788738,0.35158563570788726,0.08367563570788761,0.13540290843515734,0.2660089690078875
2008-02,0.11861937299441738,0.16961937299441754,-0.0013806270055827241,0.020619372994417517,-0.1085234840055822,0.298619372994418,0.14861937299441763,0.29304937299441747,-0.01538062700558207,0.08271461108965728,0.3786193729610847
2008-03,0.009072094328174352,0.09407209432817432,-0.13092790567182533,-0.12002790567182497,-0.33145422167182526,0.2890720943281746,0.0390720943281746,0.24654209432817442,-0.15692790567182513,-0.013296326724455909,0.43573876096150777
2008-04,0.02171957451557205,0.05671957451557219,-0.09828042548442806,-0.04048042548442776,-0.2782804254844278,0.22171957451557223,0.12171957451557258,0.21360957451557194,-0.10828042548442784,-0.008007698211698333,0.3750529078155722
