date,vstoxx
1999-01,36.124485
1999-02,36.063985
1999-03,28.619191304347826
1999-04,25.11225
1999-05,26.70734736842105
1999-06,22.86401818181818
1999-07,22.996136363636364
1999-08,27.386036363636364
1999-09,24.655254545454547
1999-10,24.924047619047617
1999-11,21.706045454545457
1999-12,27.191528571428574
2000-01,28.94837619047619
2000-02,30.048590476190476
2000-03,28.536865217391302
2000-04,28.538483333333332
2000-05,27.94932727272727
2000-06,23.374259090909092
2000-07,21.096709523809523
2000-08,20.803608695652173
2000-09,21.371190476190478
2000-10,26.1049
2000-11,25.50878181818182
2000-12,25.966673684210527
2001-01,24.375222727272728
2001-02,21.53522
2001-03,26.064145454545454
2001-04,26.82713157894737
2001-05,21.263277272727272
2001-06,21.666233333333334
2001-07,24.733745454545453
2001-08,25.237413043478263
2001-09,43.04567
2001-10,41.34496086956521
2001-11,33.31541818181818
2001-12,28.39369411764706
2002-01,27.150140909090908
2002-02,27.2034
2002-03,22.82304
2002-04,22.95556666666667
2002-05,25.363613636363638
2002-06,32.887265
2002-07,48.07999565217391
2002-08,46.74839090909091
2002-09,54.26891904761905
2002-10,52.72982608695652
2002-11,41.0115
2002-12,44.63130555555556
2003-01,45.16631363636364
2003-02,44.39293
2003-03,47.46984285714286
2003-04,36.9559
2003-05,32.040166666666664
2003-06,27.84754285714286
2003-07,26.776278260869564
2003-08,25.901271428571427
2003-09,27.29710909090909
2003-10,26.764617391304345
2003-11,23.88348
2003-12,20.80296842105263
2004-01,19.505061904761902
2004-02,18.983875
2004-03,23.150447826086953
2004-04,20.285415
2004-05,23.200295238095237
2004-06,18.935586363636364
2004-07,18.837090909090907
2004-08,19.908363636363635
2004-09,16.687177272727272
2004-10,17.256842857142857
2004-11,15.535031818181817
2004-12,14.473638095238094
2005-01,13.610166666666666
2005-02,12.642285
2005-03,12.901777272727271
2005-04,14.490957142857145
2005-05,14.184077272727272
2005-06,12.762018181818183
2005-07,13.124571428571429
2005-08,15.012421739130435
2005-09,14.867713636363636
2005-10,16.922128571428573
2005-11,14.809136363636362
2005-12,13.091619047619046
2006-01,14.834413636363637
2006-02,15.386525
2006-03,14.273847826086955
2006-04,14.654288888888889
2006-05,18.76244090909091
2006-06,22.380363636363636
2006-07,19.49147142857143
2006-08,17.901304347826088
2006-09,16.4235
2006-10,15.348968181818181
2006-11,14.157786363636363
2006-12,14.572242105263157
2007-01,15.64834090909091
2007-02,14.558089999999998
2007-03,19.521349999999998
2007-04,17.3246
2007-05,16.9661
2007-06,17.485990476190477
2007-07,19.50789090909091
2007-08,27.178926086956523
2007-09,24.32909
2007-10,19.837282608695652
2007-11,23.93940909090909
2007-12,19.305388235294117
2008-01,27.157122727272725
2008-02,28.688647619047618
2008-03,30.32215263157895
2008-04,23.20884090909091
2008-05,20.152966666666668
2008-06,23.214685714285714
2008-07,25.919521739130435
2008-08,22.699161904761905
2008-09,30.91322272727273
2008-10,63.27197826086957
2008-11,60.599419999999995
2008-12,49.987147368421056
2009-01,46.52352857142857
2009-02,45.124615
2009-03,44.187163636363636
2009-04,39.30816
2009-05,34.49126
2009-06,31.243999999999996
2009-07,29.364265217391306
2009-08,28.212742857142853
2009-09,27.099190909090908
2009-10,26.769063636363637
2009-11,27.301514285714287
2009-12,24.882125
2010-01,23.93327
2010-02,26.817559999999997
2010-03,21.35496956521739
2010-04,23.42415
2010-05,38.98694285714286
2010-06,32.39198636363636
2010-07,28.75113181818182
2010-08,28.20326818181818
2010-09,24.71488181818182
2010-10,23.017947619047618
2010-11,24.687927272727276
2010-12,21.653547619047618
2011-01,22.089171428571426
2011-02,21.437585000000002
2011-03,24.981178260869566
2011-04,20.22095263157895
2011-05,21.935695454545456
2011-06,23.805563636363637
2011-07,24.8857
2011-08,40.81231739130435
2011-09,45.54927272727272
2011-10,39.37007142857143
2011-11,40.28689090909091
2011-12,33.260909523809524
2012-01,27.786472727272727
2012-02,24.935571428571432
2012-03,22.432954545454546
2012-04,27.097952631578945
2012-05,31.27221818181818
2012-06,30.31832380952381
2012-07,24.66534090909091
2012-08,24.22805652173913
2012-09,22.60147
2012-10,21.844113043478263
2012-11,20.131804545454546
2012-12,17.19394705882353
2013-01,16.0792
2013-02,19.901415
2013-03,19.306195
2013-04,20.38142380952381
2013-05,17.66758181818182
2013-06,21.90055
2013-07,19.40465652173913
2013-08,18.805613636363635
2013-09,18.886714285714284
2013-10,17.880282608695655
2013-11,15.72684761904762
2013-12,17.03706111111111
2014-01,18.152195454545453
2014-02,18.419215
2014-03,19.366466666666668
2014-04,17.44451
2014-05,16.253733333333333
2014-06,14.321261904761906
2014-07,15.80365652173913
2014-08,18.079638095238096
2014-09,16.72609090909091
2014-10,22.36105652173913
2014-11,19.7701
2014-12,22.294384210526317
2015-01,26.418638095238098
2015-02,22.55293
2015-03,19.218454545454545
2015-04,20.99377
2015-05,22.015615789473685
2015-06,26.15386818181818
2015-07,23.578678260869566
2015-08,25.110590476190477
2015-09,31.4502
2015-10,23.650945454545454
2015-11,22.819966666666666
2015-12,23.800159999999998
2016-01,29.650479999999998
2016-02,31.689290476190475
2016-03,24.542766666666665
2016-04,22.69337619047619
2016-05,23.628168181818182
2016-06,30.888295454545457
2016-07,22.401061904761907
2016-08,20.08389565217391
2016-09,19.80924090909091
2016-10,19.2167
2016-11,21.917272727272728
2016-12,17.04694761904762
2017-01,15.984045454545454
2017-02,15.544030000000001
2017-03,14.994673913043478
2017-04,20.23536111111111
2017-05,14.951281818181819
2017-06,14.350222727272728
2017-07,13.973190476190476
2017-08,15.585030434782608
2017-09,13.271366666666665
2017-10,12.443809090909092
2017-11,13.340145454545455
2017-12,12.80368947368421
2018-01,12.171536363636363
2018-02,21.48082
2018-03,17.7979
