date,alpha,beta_gdp_growth_stdev,beta_inflation_stdev,beta_debt_gdp_stdev,beta_current_account_stdev,beta_policy_uncertainty_stdev,beta_bank_nexus_stdev,beta_bid_ask_stdev,gamma,lambda_gdp_growth_stdev,lambda_inflation_stdev,lambda_debt_gdp_stdev,lambda_current_account_stdev,lambda_policy_uncertainty_stdev,lambda_bank_nexus_stdev,lambda_bid_ask_stdev,delta,P_t_bn,MS_actual,MS_fitted,MS_tilde,MS_tilde_nopurch,MS_tilde_se,MS_tilde_nopurch_lo,MS_tilde_nopurch_hi,purchase_effect,fundamental_component,purchase_component,sentiment_component
2007-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-01,3.031581644222114,-0.6452427596611581,1.5925483853665385,-0.1832484944501888,-0.045549033031604944,0.00395938651359167,27.96902053258963,92.65491461758174,0.03494439130662604,-0.00436143859842453,0.19275305198478845,0.0043631760486570375,-0.021890818854095533,-1.0442178314552758e-4,-2.5535749236705714,10.469016390634991,-0.041091856642643844,0.499,2.468057402231167,2.2117673860869536,0.5700376815262364,0.5905425179909156,0.391069065507921,-0.19159561302492634,1.3726806490067576,-0.02050483646467928,0.5905425179909156,-0.02050483646467928,1.641729704560717
2010-09-01,2.9758379529792722,-0.4992368767334189,1.4629740765420163,-0.13800933816865177,-0.1489477707568204,0.006167890306940494,14.274846308180653,186.23843908483147,0.017701808437568717,0.0036108980862191867,0.19736590831060202,-0.00286361569599996,-0.004430282013482665,-1.291359835645851e-4,-1.9429037324527685,1.5586643795094643,-0.03299319989906762,0.867,2.7061410535856094,2.3389973094471066,1.8322840218088912,1.8608891261213827,0.37903320658741985,1.1028227129465429,2.6189555392962225,-0.028605104312491626,1.8608891261213827,-0.028605104312491626,0.5067132876382154
2010-10-01,1.057184456701358,0.32372650305446987,1.7142742153609614,-0.01901358625691684,-0.2923509314202928,0.009492278437695375,-29.284598786307722,172.37395952283865,0.016387639159589518,-0.0014894001760388511,0.2565130772008856,-0.005482999811747223,0.02396726583626747,-2.694487800411521e-4,2.2060915878420375,2.051163837310926,-0.03873298799188916,1.5784999999999765,2.298309483342802,1.888159160933077,1.479925333781303,1.541065355326499,0.3104478237066871,0.9201697079131248,2.161961002739873,-0.06114002154519613,1.541065355326499,-0.06114002154519613,0.40823382715177403
2010-11-01,-0.195336527822213,0.8467182393241608,1.5470351947662726,0.08766139632134805,-0.4389921454554816,0.008365917924697422,-60.55019737726741,171.86141191934834,0.0130894342272522,3.577508566231114e-4,0.2611110133755776,-0.006811204110366007,0.04455443366730363,-2.182827623467647e-4,5.596118256437859,3.166689484669854,-0.03391159447004382,3.9000000000000052,2.8724233507771983,2.244468912341476,1.8555204473748979,1.987775665808069,0.3614876684449859,1.2648003289180971,2.710751002698041,-0.13225521843317106,1.987775665808069,-0.13225521843317106,0.3889484649665782
2010-12-01,-0.4814931163011791,1.0707320555754847,1.3075113487117735,0.14906638667245514,-0.5460812781141414,0.008669864322578642,-79.29194833179405,183.3176827255687,0.0025704088714139824,-0.0027137232286478428,0.2637407811922387,-0.010976053488602045,0.05621848746915873,-2.6820988299169034e-4,6.772517974119463,1.2584446816547636,-0.02559269224245101,6.299999999999997,2.868929669204733,2.4647461161450552,2.398570468525754,2.5598044296531954,0.3318309399817051,1.8961425496897852,3.2234663096166054,-0.1612339611274413,2.5598044296531954,-0.1612339611274413,0.06617564761930117
2011-01-01,-1.1587566419498427,1.2080015164642992,1.1937265998555142,0.2274713270466411,-0.6632823552976423,0.005125832151863047,-98.83752354959,183.95917994301246,9.676175930336582e-4,-0.012798363805344172,0.2806988682934506,-0.015055323952646105,0.06181086535453182,-1.0967506749063822e-4,8.429158369628647,-0.007238941829149857,-0.027031232662578,3.0000000000000004,2.8170190493624365,2.470646559083866,2.448104546317182,2.529198244304916,0.31883879649218333,1.8915206513205494,3.1668758372892825,-0.08109369798773401,2.529198244304916,-0.08109369798773401,0.022542012766684216
2011-02-01,-1.456537715621104,1.1844250764547724,1.267208008976912,0.2590149251412315,-0.7061838300644091,0.00438292111189207,-104.90312379979936,175.24787726283395,-0.0013076551190245142,-0.014223312003938641,0.2823846914463293,-0.016535965448104126,0.062298011572969374,-5.8861532062405125e-5,8.98635210585423,0.24839637608625958,-0.029666583246565164,1,2.7989637952774906,2.6071258938138557,2.593519317876353,2.623185901122918,0.3036392935797181,2.0159073139634818,3.230464488282354,-0.029666583246565164,2.623185901122918,-0.029666583246565164,0.013606575937502807
2011-03-01,-1.2866431707079307,0.6825809395627916,2.0150830086132143,0.2859322447146733,-0.7896284347972884,0.0035973381185781714,-107.89582709076592,159.34284315389016,-0.007897904470875109,0.025253352729026422,0.09057360340889861,-0.015171199412971249,0.06555117321423438,1.1558206480486229e-4,10.346127150550512,2.378715444592415,-0.011709050561109748,-0.7999999999999972,3.1688456225057675,2.9364017813541645,3.345710064442437,3.3363428239935495,0.3637117708452165,2.6089192823031166,4.063766365683983,0.009367240448887764,3.3363428239935495,0.009367240448887764,-0.4093082830882726
2011-04-01,-1.3898826635457993,0.8669582694640646,1.9220417759932362,0.2874535979889806,-0.7713304236334434,0.002453340931860991,-114.53496026753005,175.82592700088563,-0.008348049770990344,0.008673979333875557,0.127589258325785,-0.015716338770588957,0.0662047390160186,1.6652340000661913e-4,11.281999150404586,-0.6817550678929329,-0.016392342762155798,-0.6000000000000085,3.534361252249997,3.4845444319766847,3.501123599489037,3.491288193831743,0.3001083787290506,2.891071436373642,4.091504951289844,0.009835405657293619,3.491288193831743,0.009835405657293619,-0.01657916751235211
2011-05-01,-2.0022301778179186,0.9633027913974775,1.7754358204319716,0.32783323913194895,-0.8048096596198073,-4.04553224410787e-5,-121.4792322728536,168.66549245536038,-0.005243061402768641,-0.002718375352571734,0.16696404728647743,-0.017167168367033612,0.06480376152688218,2.8473716437253107e-4,11.961667996914171,-0.3556741940627318,-0.023705545421754466,-1.1999999999999886,4.238791355211685,3.7409368985624982,3.836735267224177,3.808288612718072,0.3347843445999475,3.138719923518177,4.477857301917967,0.02844665450610509,3.808288612718072,0.02844665450610509,-0.09579836866167879
2011-06-01,-3.5348194540237357,1.0013796788540033,1.4539559800300477,0.3379438095374089,-0.7331951992670889,-2.7681950218572305e-4,-90.5804441321534,147.36641163739773,0.012697338720434338,-0.003161304213010143,0.19396504324527014,-0.010747995042071657,0.06433360005040809,3.0260001683821294e-4,13.516900379619047,1.9728630369635516,-0.032971087978762026,-1,4.578855779522412,4.1157480447972326,3.8938436713287183,3.8608725833499564,0.38192926257257287,3.0970140582048105,4.624731108495102,0.032971087978762026,3.8608725833499564,0.032971087978762026,0.22190437346851422
2011-07-01,-4.436783544852823,0.9199643620935104,1.2856423941601836,0.32760814079623096,-0.6470276281151538,-5.211497546930199e-4,-58.58214608046855,163.66968230902927,0.017236837820159834,-0.005563150351479836,0.20033564725065725,-0.008595641845772271,0.06136707026740254,2.724898540337909e-4,13.54281475975831,-1.4761803326187903,-0.03445942471547778,0.09999999999999432,4.646314873768493,4.466476418869901,4.155159800338534,4.1586057428100816,0.4054439306553235,3.3477178814994346,4.9694936041207285,-0.003445942471547582,4.1586057428100816,-0.003445942471547582,0.3113166185313663
2011-08-01,-4.956654544784473,0.9346722987741818,0.7926208257647734,0.29365403838257986,-0.5553808511815918,0.0020608122197796957,-20.25377174695517,165.97061258543644,0.023741432783652282,0.0060233428913859565,0.15792783378001712,-0.0011416678821982488,0.06330772653614317,8.645653043414795e-5,13.25161343311802,0.045118756731684466,-0.022741238862721565,41.599999999999994,4.512897793251792,4.438949460729882,3.2994466331588477,4.2454821698480645,0.4443254081932947,3.356831353461475,5.134132986234654,-0.9460355366892169,4.2454821698480645,-0.9460355366892169,1.1395028275710342
2011-09-01,-5.165557935663075,0.8011012293422958,0.7302283780886717,0.28881850580684437,-0.5266837966880757,0.0023662953080578236,-2.4294003823182115,173.72888749074443,0.019709589046720728,0.01186402136415229,0.1524810921876282,-0.0016974548933621127,0.06290592980456026,-3.56542473189295e-5,12.499632218489381,-2.4137162603575804,-0.01800965526905779,40.900000000000006,5.026119449530158,5.085951634432946,4.642991408173236,5.379586308677699,0.48676621502341405,4.406053878630871,6.353118738724527,-0.7365949005044636,5.379586308677699,-0.7365949005044636,0.4429602262597099
2011-10-01,-5.08406970641588,0.6856629626449925,0.8354422523937343,0.2897447268239829,-0.5269886495672345,0.0015140923940444905,1.4184804318429245,190.08563805405964,0.012507223187374685,-0.01858862718072513,0.08420390676727091,-0.003474785317464405,0.054112254610780196,1.5315048481049113e-4,12.826816460039453,-6.457089637121687,-0.009563603008099022,17,5.011208223180705,5.3692906161171425,6.341298230937011,6.503879482074694,0.5383817685630956,5.427115944948503,7.580643019200886,-0.16258125113768337,6.503879482074694,-0.16258125113768337,-0.9720076148198684
2011-11-01,-4.9547966499285065,0.6479648929734051,0.8662442647267413,0.2922513046494839,-0.5363504605308307,0.001588682117170906,0.3142262590533578,190.04206589902043,0.008195002787761158,-0.012943775321045566,0.06938920954629414,-0.003820834048415581,0.0544941568335333,1.6234900625391514e-4,12.697970660829634,-6.148236221189202,-0.0073681124201799815,29.80000000000001,4.972237694623266,4.8840506739679865,5.782803511409901,6.002373261531264,0.49385483286748266,5.014663595796298,6.990082927266229,-0.21956975012136354,6.002373261531264,-0.21956975012136354,-0.898752837441914
2011-12-01,-5.399768708414905,0.6478635685262236,0.8679525474755635,0.30217207608340396,-0.5210043933721341,0.001139277503243728,4.128041396748189,189.99779960409205,0.00977809779835314,-0.022449323363480083,0.061294676655083785,-0.004078698245307147,0.046040308684341266,2.3383367823482585e-4,11.986269800107317,-5.728867373993844,-0.011637033515171041,8.599999999999994,5.849094385673654,5.280562363824966,5.628558579704846,5.728637067935317,0.5159105811483378,4.696815905638641,6.760458230231992,-0.10007848823047089,5.728637067935317,-0.10007848823047089,-0.3479962158798795
2012-01-01,-3.4853326927312267,0.7587723199847032,0.6382208431633467,0.34358882861976137,-0.7190342346969925,-0.001434043654675709,-49.116675518853704,230.98639813070963,-0.017123424494631483,-0.016543663698103082,-0.0527413892544855,-0.009161342576575335,0.05142640954718068,4.986897387349173e-4,11.833479038048077,-3.0576114566550068,0.011134141705626786,7.1999999999999895,7.130752412371188,6.259650304005144,7.346704574604896,7.266538754324383,0.5697261780205752,6.127086398283232,8.405991110365534,0.08016582028051275,7.266538754324383,0.08016582028051275,-1.0870542705997517
2012-02-01,-2.2752799712564387,0.8832065179256462,-0.21638167865471977,0.3424223407803491,-0.797931596205041,-0.002023469901218696,-55.886074372286096,310.05337682804816,-0.033535480671594606,-0.02012637006928119,-0.04786822536455186,-0.009797392269673999,0.06051756994549432,7.477585227606864e-4,12.977200726410308,-7.570710684964761,0.015664534814167266,0.200000000000017,8.032954497061638,6.742797800703716,7.906520144741161,7.903387237778327,0.6206009620410396,6.662185313696248,9.144589161860406,0.0031329069628337194,7.903387237778327,0.0031329069628337194,-1.1637223440374447
2012-03-01,-5.508094987988757,0.23936266007829055,0.4556722960160791,0.355299301996968,-0.6275153759114706,0.004093958927815413,38.94441863754453,137.7583523401223,-0.02196920245581444,-0.014166977758829302,-0.17588508448115686,-0.013047564571205162,0.017899756895676223,8.564068955630821e-5,2.103762810405649,11.057796583865755,0.027763149164608546,-5.100000000000023,5.281086287997114,6.286609881158875,6.763629231032344,6.9052212917718485,0.7826534527892346,5.33991438619338,8.470528197350317,-0.14159206073950423,6.9052212917718485,-0.14159206073950423,-0.47701934987346917
2012-04-01,-6.307645961428752,-0.21572308362650566,0.38671296573971375,0.36607408560518007,-0.6203006147730729,0.0039005456519638692,81.29908824288795,101.57252620639068,-0.01583838310289088,-0.01493397005835432,-0.19825016676305157,-0.012680916396807122,0.012758485625721096,2.2493077450437122e-5,2.235160558519343,6.469605592863151,0.027473335198870668,0,5.852109864704868,6.631608971296374,7.1506882344138285,7.1506882344138285,1.0565177410625595,5.037652752288709,9.263723716538948,0,7.1506882344138285,0,-0.5190792631174546
2012-05-01,-6.409390656092058,-0.1976652419361844,0.21109472680789315,0.3624867268496713,-0.6079285093281004,0.004433432218294761,88.20723186143816,96.74148575548244,-0.014069573557818942,-0.014493035394162747,-0.18098002296045518,-0.01272513345256005,0.010682036340496803,-4.4916476728125104e-5,1.0552627749000725,8.882484115763393,0.027250944090558112,-2.0999999999999948,7.383640136891899,7.250477800481494,7.242752315569129,7.299979298159301,1.0946508021603307,5.11067769383864,9.489280902479962,-0.05722698259017189,7.299979298159301,-0.05722698259017189,0.007725484912364244
2012-06-01,-5.977044179420338,-0.21595399659363224,0.9444333507456384,0.4094536087334739,-0.7660716866652287,0.004559224285116457,25.628525870676942,67.14227937768091,0.001490952898192833,-0.03527203871996022,-0.14090123707203886,-0.013663706022870809,0.006636428767770938,1.6966790384587404e-4,3.8698745440378133,9.479599572741924,0.006846747326022624,-0.799999999999983,7.6408606242078925,6.618997929616516,6.691337813908659,6.696815211769477,1.058108330776886,4.580598550215704,8.813031873323249,-0.005477397860817982,6.696815211769477,-0.005477397860817982,-0.072339884292143
2012-07-01,-4.714651813329056,-0.2793997941929831,1.7084309005479363,0.45569955387148087,-0.9615033993527085,0.002187268626185029,-38.57602416273333,49.733497432588855,-0.0036760703787860403,-0.031451653565740346,-0.19363136229274946,-0.01624984722414087,0.015571025479165407,3.347270888736436e-4,7.295221961162226,9.645091541744605,0.008194904945920175,0,7.125071744249346,6.846913659736217,7.193560448269274,7.193560448269274,0.9645558040385379,5.264448840192198,9.12267205634635,0,7.193560448269274,0,-0.3466467885330573
2012-08-01,-4.794787291121244,-0.28622323040376146,1.6984715464716398,0.4544779986358106,-0.9458778261286112,0.0024151014516445597,-36.171951441187076,50.10269964517489,-0.004787081042502361,-0.03424678087611846,-0.18761153845113904,-0.015960686047824676,0.013717633713563696,3.0914793931782845e-4,7.145731899283984,9.381174797698723,0.006598987228487094,-2.5,6.695391780305553,6.704991251986706,7.1470394170652485,7.163536885136466,0.9897200259731693,5.184096833190127,9.142976937082805,-0.016497468071217734,7.163536885136466,-0.016497468071217734,-0.4420481650785426
2012-09-01,-6.185677467973261,0.1483005876359925,0.9493602355696377,0.4007738269669815,-0.712056487761189,0.005731912160139132,3.279343394228978,69.44368334979522,0.010877737917806156,-0.07156338102592634,-0.0424206345862676,-0.010494566442086744,0.0024483505746565417,6.267379419014986e-5,5.588763704521183,6.334880957551648,-0.011857699946424253,0,5.657704570650979,6.676707390621613,6.464696951890171,6.464696951890171,0.9057713068129241,4.653154338264323,8.276239565516018,-0,6.464696951890171,-0,0.21201043873144165
2012-10-01,-8.746630021225695,-0.8230961867876969,0.22914917933394924,0.355842879396588,-0.4189994182184702,0.012136558030459762,128.68273897307486,107.27434551976785,0.023554778977681063,-0.031746783277241064,-0.002932913205262354,-0.007850526190829356,-0.023160992782168925,-2.2636122381369879e-4,-1.428666946088262,3.951968000576731,-0.01946947812730519,0,4.829016006494351,6.09233450430047,5.564806360132716,5.564806360132716,0.9354269639106404,3.693952432311435,7.435660287953996,-0,5.564806360132716,-0,0.5275281441677544
2012-11-01,-10.218053255249762,-0.8548084919902659,-0.100940373321675,0.34343248051426495,-0.26771205324297404,0.00924454111997287,162.30557403629408,123.86411379452075,0.043874359343589714,-0.04715269281325702,0.0921279601006032,-0.005254282225891372,-0.037772268135072215,-1.5295791243021708e-4,-2.952146169497507,0.9486955630983178,-0.0348632728183996,0,4.6316411546193414,5.6513017057605515,4.8150158418097355,4.8150158418097355,0.8531972434878382,3.1086213548340593,6.521410328785412,-0,4.8150158418097355,-0,0.8362858639508159
2012-12-01,-10.647778705026319,-0.8760849688060224,-0.5092301327597316,0.3331328396331322,-0.21988687883978283,0.012155703489310742,172.74163043255513,124.56237731434116,0.0596397196803487,-0.044016196506375414,0.22378543191039688,-0.0026282406466734557,-0.0356327705279292,-3.6648608546936023e-4,-2.7565363352038057,-1.0678139233705197,-0.04932744010709647,0,3.5912705531284255,4.1587591238936055,3.618273311017461,3.618273311017461,0.7049210426534354,2.2084312257105903,5.028115396324331,-0,3.618273311017461,-0,0.5404858128761445
